date,ticker,headline,sentiment_score
2024-01-01,AAPL,Macro news influences large-cap tech sentiment,0.265
2024-01-01,AAPL,Management commentary on demand trends,-0.367
2024-01-02,AAPL,Analyst note discusses margin outlook,-0.019
2024-01-03,AAPL,Supply chain update raises mixed expectations,0.427
2024-01-03,AAPL,Supply chain update raises mixed expectations,-0.106
2024-01-04,AAPL,Management commentary on demand trends,-0.226
2024-01-04,AAPL,Product launch rumors circulate online,-0.277
2024-01-05,AAPL,Management commentary on demand trends,0.076
2024-01-05,AAPL,Management commentary on demand trends,0.447
2024-01-08,AAPL,Supply chain update raises mixed expectations,-0.322
2024-01-08,AAPL,Analyst note discusses margin outlook,-0.177
2024-01-09,AAPL,Macro news influences large-cap tech sentiment,0.026
2024-01-10,AAPL,Supply chain update raises mixed expectations,0.077
2024-01-10,AAPL,Macro news influences large-cap tech sentiment,-0.485
2024-01-11,AAPL,Analyst note discusses margin outlook,0.257
2024-01-11,AAPL,Product launch rumors circulate online,0.187
2024-01-12,AAPL,Supply chain update raises mixed expectations,-0.252
2024-01-12,AAPL,Management commentary on demand trends,0.376
2024-01-15,AAPL,Supply chain update raises mixed expectations,-0.215
2024-01-15,AAPL,Management commentary on demand trends,0.527
2024-01-16,AAPL,Management commentary on demand trends,0.118
2024-01-16,AAPL,Management commentary on demand trends,0.605
2024-01-17,AAPL,Supply chain update raises mixed expectations,0.560
2024-01-18,AAPL,Product launch rumors circulate online,-0.113
2024-01-19,AAPL,Macro news influences large-cap tech sentiment,-0.027
2024-01-19,AAPL,Supply chain update raises mixed expectations,0.511
2024-01-19,AAPL,Supply chain update raises mixed expectations,0.017
2024-01-22,AAPL,Management commentary on demand trends,0.208
2024-01-23,AAPL,Management commentary on demand trends,0.075
2024-01-24,AAPL,Product launch rumors circulate online,0.103
2024-01-24,AAPL,Management commentary on demand trends,0.162
2024-01-24,AAPL,Management commentary on demand trends,0.083
2024-01-25,AAPL,Product launch rumors circulate online,-0.329
